"Table 1. Space Economy Real Value Added by Industry","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14"
"[Millions of chained (2017) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last updated: March 31, 2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Space economy1","-2.31470070566811","-0.776688443353811","-0.517921447484398","0.876117603993017","1.06626485126757","0.926620456346713","0.478347519264384","1.03516150727831","0.256615948454348","-0.776528116838402","-0.182518377249694","-0.0707707960099286"
"2","Private industries","-1.90374121407403","-0.401575350007364","-0.187764009381268","1.10978843588246","1.26631447392571","1.13609126495571","0.570822490455168","0.793347651755837","0.0820416974314355","-0.982819462411288","-0.626036915902383","-0.85646906262998"
"3","Agriculture, forestry, fishing, and hunting","…","…","…","…","…","…","…","…","…","…","…","…"
"4","Farms","…","…","…","…","…","…","…","…","…","…","…","…"
"5","Forestry, fishing, and related activities","…","…","…","…","…","…","…","…","…","…","…","…"
"6","Mining","1.53178994984787","0.970523403338725","1.43824552542968","1.15761225217511","0.268940220202297","-0.479415175143225","-0.760048448397796","-0.713276236188701","-0.853592872815987","-0.853592872815987","-0.853592872815987","-0.853592872815987"
"7","Oil and gas extraction","1.54723289073805","0.980788307010224","1.48429460365718","1.10666488117196","0.225528862039784","-0.529730582930656","-0.718545444173266","-0.718545444173266","-0.844422018335006","-0.844422018335006","-0.844422018335006","-0.844422018335006"
"8","Mining, except oil and gas","-0.552770798392567","-0.552770798392567","-0.552770798392567","1.6583123951777","1.6583123951777","1.6583123951777","-0.552770798392567","-0.552770798392567","-0.552770798392567","-0.552770798392567","-0.552770798392567","-0.552770798392567"
"9","Support activities for mining","1.58911813902994","0.848558229579096","1.40397816166723","1.21883818430452","0.293138297490961","-0.447421611959887","-0.817701566685311","-0.817701566685311","-0.817701566685311","-0.817701566685311","-0.817701566685311","-0.817701566685311"
"10","Utilities","-0.957427107756338","-0.957427107756338","-0.957427107756338","0.957427107756338","0.957427107756338","0.957427107756338","0.957427107756338","-0.957427107756338","-0.957427107756338","0.957427107756338","0.957427107756338","-0.957427107756338"
"11","Construction","-1.06938399896844","-1.17652844587857","-0.735587837440717","-0.488331421494257","-0.50069424229158","0.249316886079347","-0.677894673719876","2.16143316939863","1.34136605650954","-0.0473908130564047","0.44300107857074","0.50069424229158"
"12","Manufacturing","-1.69989570189209","-1.19448271699724","-1.12984592540052","-0.712627116991563","-0.104612959893489","-0.0798874402164301","0.129403375947652","0.903487362057784","0.524427623386651","1.0892207933327","1.13614087397972","1.13867183268682"
"13","Durable goods","-1.6970051898042","-1.21195043315082","-1.14566727920056","-0.691455261813053","-0.0998876912973998","-0.0713437897407832","0.135360034283307","0.906620085739271","0.535932505121464","1.08841983457974","1.12386024926413","1.12711693601891"
"14","Wood products","2.13676752881544","0.676192255954254","1.8121952459574","-0.459810734048893","-0.459810734048893","-0.622096875477914","-0.459810734048893","-0.784383016906935","-0.784383016906935","-0.135238451190851","-0.459810734048893","-0.459810734048893"
"15","Nonmetallic mineral products","1.14829800828579","1.76621621902254","1.95159168224357","-0.458289339629755","-0.334705697482406","-0.458289339629755","-0.458289339629755","-0.581872981777105","-0.705456623924455","-0.705456623924455","-0.581872981777105","-0.581872981777105"
"16","Primary metals","0.366620457738761","0.533688008100729","2.14867432826641","1.36902575991057","0.310931274284772","0.0881745404688158","-0.635784844433043","-0.858541578248999","-0.747163211341021","-1.08129831206496","-0.747163211341021","-0.747163211341021"
"17","Fabricated metal products","-0.00862300731117175","2.09539077661474","0.727206949908818","1.17560333008975","0.715709606827255","0.0603610511782023","-0.928410453836159","-1.06637857081491","-1.12386528622272","-0.652474219878663","-0.49151141673679","-0.503008759818352"
"18","Machinery","1.87537077573307","1.68070581447742","1.30317376840586","-0.431114068235361","-0.419316191795625","-0.602183276611536","-0.554991770852591","-0.737858855668502","-0.93252381692415","-0.572688585512195","-0.289539550958526","-0.319034242057867"
"19","Computer and electronic products2","-1.58786112109312","-1.34958339172148","-1.27669617668367","-0.816679769373775","0.058159125631536","0.282397892739954","0.404325318423262","0.56452333986521","0.437403421290027","1.07165681230509","1.16973723359608","1.04261731502089"
"20","Electrical equipment, appliances, and components","0.151231234760625","1.29334820461307","1.41947155097714","0.669738325368483","0.914978165520848","0.221299760518444","0.333409401730954","-0.255166214634723","-0.88578294645509","-1.40429003706295","-1.21510501751684","-1.24313242781996"
"21","Motor vehicles, bodies and trailers, and parts","0.809173593712687","0.809173593712687","0.809173593712687","0.809173593712687","0.809173593712687","0.809173593712687","-1.13284303119776","-1.13284303119776","-1.13284303119776","-1.13284303119776","0.809173593712687","-1.13284303119776"
"22","Other transportation equipment3","-0.565355048947533","0.269978201410885","0.311368587689906","0.687644826590094","-1.02158998861401","-1.83246528344392","-1.35647584123518","1.64903061698007","0.702695876146101","0.504210160126252","0.0837214631552918","0.567236430142034"
"23","Furniture and related products","1.07466377809224","2.03704925101067","1.6520950618433","-0.0801987894098691","-0.46515297857724","-0.272675883993554","-0.46515297857724","-0.657630073160925","-0.657630073160925","-0.85010716774461","-0.657630073160925","-0.657630073160925"
